original_sentence,processed_tokens
Osimhen'in kafa golü ve Kvara'nın asisti maçın belirleyici anlarıydı.,kaf golü asis maç belirleyiç an
"Lyon, Marseille'yi 3-2 yendi.",lyon ye
Alexandre Lacazette'in 90+4'te attığı gol taraftarlara büyük sevinç yaşattı.,alexandre attık gol taraftar büyük sevinç yaşat
"Benfica, Sporting'i 1-0 mağlup etti.",benfica sportingi mağlup et
João Mário'nun penaltıdan attığı gol maçın tek gölü oldu.,joão penaltı attık gol maç tek göl ol
"PSV, Utrecht'i 4-0 mağlup etti.",psv utrecht mağlup et
Luuk de Jong'un hat-trick yapmasıyla PSV ligdeki liderliğini sürdürdü.,luuk yapma psv ligi liderlik sürdür
"New York Red Bulls, DC United'ı 3-1 yendi.",new york red bulls unitedi ye
Lewis Morgan'un 2 golü maçın kaderini belirledi.,lewis golü maç kader belirledi
"Rangers, Aberdeen'i 2-0 mağlup etti.",rangers aberdeen mağlup et
James Tavernier'in penaltı golü ve Rabbi Matondo'nun müthiş şutu maçı kazandırdı.,james penal golü rabbi müthiş şut maç kazandır
"Sivasspor, Alanyaspor'u 1-0 mağlup etti.",sivasspor alanyaspor mağlup et
Emre Kılınç'ın uzaktan attığı gol maçın tek gölü olarak kayıtlara geçti.,emre uzak attık gol maç tek göl olarak kayıt geç
"Manchester City, Tottenham'ı 3-2 mağlup etti.",manchester city tottenha mağlup et
Haaland'ın 2 golüne rağmen maçın yıldızı Julian Alvarez oldu.,gol rağme maç yıldız julian alvarez ol
"Valencia, Girona'yı 2-1 mağlup etti.",valencia mağlup et
Hugo Duro'nun 88. dakikada attığı gol maçı Valencia lehine çevirdi.,hugo dakika attık gol maç valencia leh çevir
"Wolfsburg, Dortmund'u 2-1 mağlup etti.",wolfsburgu dortmundu mağlup et
Niklas Füllkrug'ın eski takımına attığı gol maçın en çok konuşulan anıydı.,niklas eski takım attık gol maç konuşula an
"Roma, Fiorentina'yı 2-0 mağlup etti.",ro mağlup et
Dybala'nın müthiş frikik golü ve Lukaku'nun kafa gölü maçı kazandırdı.,müthiş frikik golü kaf göl maç kazandır
"Lens, Strasbourg'u 3-1 mağlup etti.",lens strasbourgu mağlup et
Elye Wahi'nin 2 golü Lens taraftarlarını sevince boğdu.,elye golü lens taraftar sev bok
"Porto, Boavista'yı 4-0 mağlup etti.",porto mağlup et
Evanilson'un hat-trick yapmasıyla Porto ligde 3. sıraya yükseldi.,yapma porto ligi sıra yüksel
"AZ Alkmaar, Twente'yi 2-1 mağlup etti.",alkmaar mağlup et
Vangelis Pavlidis'in 90+3'te attığı gol maçı kazandırdı.,vangelis attık gol maç kazandır
"Seattle Sounders, Portland Timbers'i 2-1 mağlup etti.",seattle sounders portlandı timbers mağlup et
Raúl Ruidíaz'ın 2 golüyle Sounders derbiyi kazandı.,raúl golü sounders derbi kaza
"Celtic, Hearts'ı 3-0 mağlup etti.",celtiç hearts mağlup et
Kyogo Furuhashi'nin 2 golüyle Celtic ligdeki farkını açtı.,kyogo golü celtiç ligi fark aç
"Başakşehir, Kasımpaşa'yı 4-2 mağlup etti.",başakşehir mağlup et
Edin Visca'nın eski takımına attığı gol ve Okan Buruk'un taktik değişiklikleri maçın dönüm noktası oldu.,edi eski takım attık gol oka taktik değişiklik maç dö noktas ol
"Aston Villa, Newcastle'ı 3-1 yendi.",asto villa newcastle ye
Ollie Watkins'in 2 golü ve Douglas Luiz'in orta saha hakimiyeti Villa Park'ta büyük coşku yarattı.,ollie golü douglas or sah hakimiyet villa büyük coşku yarat
"Betis, Valencia'yı 2-0 mağlup etti.",betis mağlup et
Isco'nun muhteşem performansı ve William Carvalho'nun uzun mesafeli golü maçı kazandırdı.,muhteşe performansı william uz mesafel golü maç kazandır
"Mönchengladbach, Frankfurt'u 3-2 yendi.",mönchengladbach frankfurt ye
Alassane Plea'nın 89. dakikada attığı gol taraftarları çılgına çevirdi.,alassane dakika attık gol taraftar çılgı çevir
"Milan, Atalanta'yı 2-1 mağlup etti.",mila mağlup et
"Rafael Leao'nun süratinden yararlanan Rossoneri, Giroud'nun kafa golüyle galibiyete ulaştı.",rafael sürat yararlana rossoner kaf golü galibiye ulaş
"Rennes, PSG'yi 1-0 mağlup etti.",rennes mağlup et
Arnaud Kalimuendo'nun eski takımına attığı gol ve Steve Mandanda'nın kurtarışları maçın belirleyici anlarıydı.,arnaudu eski takım attık gol stev kurtarış maç belirleyiç an
"Benfica, Porto'yu 2-1 mağlup etti.",benfica mağlup et
Ángel Di María'nın serbest vuruş golü ve António Silva'nın kurtarışları Estádio da Luz'da büyük sevinç yarattı.,ángel serbest vuruş golü antónio kurtarış estádio büyük sevinç yarat
"Feyenoord, PSV'yi 3-2 mağlup etti.",feyenoordu mağlup et
Santiago Giménez'in 90+4'te attığı gol De Kuip'te büyük coşkuyla karşılandı.,santiago attık gol büyük coşku karşıla
"Atlanta, Orlando'yu 4-3 mağlup etti.",atla mağlup et
Thiago Almada'nın hat-trick yapması ve 90+7'de attığı serbest vuruş golü maçı kazandırdı.,thiago yapmas attık serbest vuruş golü maç kazandır
"Rangers, Celtic'i 2-1 mağlup etti.",rangers celtiç mağlup et
Kemar Roofe'un 87. dakikada attığı gol Ibrox Stadı'nda büyük sevinç yarattı.,kemar dakika attık gol ibrox büyük sevinç yarat
"Trabzonspor, Fenerbahçe'yi 1-0 mağlup etti.",trabzonspor mağlup et
Enis Bardhi'nin frikik golü ve Uğurcan Çakır'ın kurtarışları maçın belirleyici anlarıydı.,enis frikik golü uğurca kurtarış maç belirleyiç an
"Brighton, Chelsea'yi 3-2 mağlup etti.",brighto mağlup et
Evan Ferguson'un muhteşem performansı ve Joao Pedro'nun penaltı golü maçı kazandırdı.,eva muhteşe performansı joao penal golü maç kazandır
"Girona, Real Madrid'i 4-2 mağlup etti.",giro real madridi mağlup et
Ukraynalı yıldız Artem Dovbyk'ın hat-trick yapmasıyla Girona ligdeki sürpriz performansını sürdürdü.,ukraynal yıldız arte yapma giro ligi sürpriz performans sürdür
"Stuttgart, Bayern Münih'i 3-1 mağlup etti.",stuttgart bayern münih mağlup et
Serhou Guirassy'nin 2 golü ve Deniz Undav'ın performansı maçın belirleyici anlarıydı.,serhou golü de performansı maç belirleyiç an
"Lazio, Inter'i 1-0 mağlup etti.",lazio inter mağlup et
Ciro Immobile'nin 78. dakikada attığı gol ve Provedel'in kurtarışları maçı kazandırdı.,ciro dakika attık gol kurtarış maç kazandır
"Marsilya, Nice'i 2-1 mağlup etti.",marsilya niç mağlup et
Pierre-Emerick Aubameyang'ın 2 golü Vélodrome'da büyük sevinç yarattı.,golü büyük sevinç yarat
"Sporting, Benfica'yı 3-2 mağlup etti.",sportingi mağlup et
Viktor Gyökeres'in 90+5'te attığı gol Alvalade'da büyük coşkuyla karşılandı.,viktor attık gol büyük coşku karşıla
"Ajax, Twente'yi 4-3 mağlup etti.",ajax mağlup et
Steven Bergwijn'in hat-trick yapması ve Brian Brobbey'nin 90+8'de attığı gol maçı kazandırdı.,steve yapmas brian attık gol maç kazandır
"Inter Miami, New England'ı 5-2 mağlup etti.",inter miam new englandı mağlup et
Lionel Messi'nin 2 golü ve 2 asistiyle DRV PNK Stadyumu'nda büyük gösteri yaptı.,lionel golü asisti drv pnk büyük göster yap
"Celtic, Kilmarnock'u 4-0 mağlup etti.",celtiç kilmarnock mağlup et
Kyogo Furuhashi'nin 2 golü ve Matt O'Riley'nin performansı maçın belirleyici anlarıydı.,kyogo golü matt performansı maç belirleyiç an
